Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate40_1-16-24.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-16 19:16:13 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL,MTP
H3,Sample 3,D,UNKNOWN,SYBR,None,34.80245209,34.80245209,,,,,FALSE,0.1,TRUE,3,31,80.16612244,,,,N,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,Undetermined,34.92537689,,,,,FALSE,0.1,TRUE,3,39,61.34664917,79.86740112,,,N,N,N,Y,Y
H5,Sample 5,D,UNKNOWN,SYBR,None,34.26662445,34.26662445,,,,,FALSE,0.1,TRUE,3,30,80.0146637,,,,N,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.34455109,91.81417847,,,N,N,N,Y,Y
H7,Sample 7,D,UNKNOWN,SYBR,None,34.54851913,34.54851913,,,,,FALSE,0.1,TRUE,3,30,80.01566315,,,,N,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,27.57505798,29.51645279,2.745545626,,,,FALSE,0.1,TRUE,3,24,80.01566315,,,,Y,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.19782257,69.56157684,,,N,N,N,Y,Y
H10,Sample 10,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,61.3471756,,,,N,N,N,Y,N
H11,Sample 11,D,UNKNOWN,SYBR,None,25.73551369,25.66708374,0.096774556,,,,FALSE,0.1,TRUE,3,21,80.01392365,,,,N,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,25.71697044,25.86046028,0.20292528,,,,FALSE,0.1,TRUE,3,21,80.01392365,,,,N,N,N,N,N
