Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate44_1-18-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-18 17:48:52 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,NOISE,SPIKE,EXPFAIL,MTP
G12,Sample 12,D,UNKNOWN,SYBR,None,33.36517334,33.24403381,0.17131716,,,,FALSE,0.1,TRUE,3,30,79.86705017,,,,N,N,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,23.30046463,23.11174011,0.266898125,,,,FALSE,0.1,TRUE,3,18,80.31318665,,,,N,N,N,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,22.47919083,22.3824234,0.136851162,,,,FALSE,0.1,TRUE,3,18,80.31318665,,,,N,N,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,23.80535507,23.72169113,0.118317328,,,,FALSE,0.1,TRUE,3,20,80.46479797,,,,N,N,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,25.71005058,25.63775635,0.10223949,,,,FALSE,0.1,TRUE,3,22,80.31542969,,,,N,N,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,24.3958683,24.40910339,0.018718595,,,,FALSE,0.1,TRUE,3,20,80.3115387,,,,N,N,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,22.53596306,22.5002327,0.050529014,,,,FALSE,0.1,TRUE,3,19,80.3115387,,,,N,N,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,23.59925079,23.6543045,0.077856354,,,,FALSE,0.1,TRUE,3,19,80.16519165,,,,N,N,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,25.11088562,25.12645721,0.022020211,,,,FALSE,0.1,TRUE,3,21,80.16519165,,,,N,N,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,31.88918495,31.87639618,0.018087404,,,,FALSE,0.1,TRUE,3,28,80.16453552,,,,N,N,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,33.19480515,32.10089493,1.547024012,,,,FALSE,0.1,TRUE,3,29,80.01519775,,,,Y,N,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,74.1915741,,,,N,Y,N,N,Y,N
H12,Sample 12,D,UNKNOWN,SYBR,None,33.12289429,33.24403381,0.17131716,,,,FALSE,0.1,TRUE,3,29,80.0164032,,,,N,N,N,N,N,N
