Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 20:22:23 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
E10,Sample 9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E11,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.27895737,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E12,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
E12,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,25.63421249,25.58697701,0.066801071,,,,FALSE,0.1,TRUE,3,21,,N,N,Y,Y
F1,Sample 10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F2,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,26.32926369,26.58177567,0.357105851,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
F3,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,38.99781799,38.99781799,,,,,FALSE,0.1,TRUE,3,34,,N,N,Y,Y
F3,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F4,Sample 10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F5,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,26.83428764,26.58177567,0.357105851,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
F6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.99781799,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
F7,Sample 11,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,33,,N,N,Y,N
F8,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,26.63513565,26.56237793,0.102893606,,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
F9,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,37.06648636,37.17383194,0.151809573,,,,FALSE,0.1,TRUE,3,32,,N,Y,N,N
F9,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,34.97410965,35.50298691,0.747945368,,,,FALSE,0.1,TRUE,3,31,,N,Y,N,N
F10,Sample 11,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
F11,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,26.48962212,26.56237793,0.102893606,,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
F12,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,37.28117752,37.17383194,0.151809573,,,,FALSE,0.1,TRUE,3,32,,N,Y,N,N
F12,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,36.03186417,35.50298691,0.747945368,,,,FALSE,0.1,TRUE,3,32,,N,Y,N,N
G1,Sample 12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
G2,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.04097748,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
