Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate42_1-17-24.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-17 14:36:45 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOISE,SPIKE,EXPFAIL,MTP
G8,Sample 8,D,UNKNOWN,SYBR,None,29.9765892,29.94787216,0.040613379,,,,TRUE,0.390520622,TRUE,3,24,80.16343689,,,,N,N,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.390520622,TRUE,3,39,61.19488907,79.71569824,,,N,N,N,N,Y,Y
G10,Sample 10,D,UNKNOWN,SYBR,None,27.3180809,27.19463921,0.174572915,,,,TRUE,0.390520622,TRUE,3,21,80.16378784,,,,N,N,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.390520622,TRUE,3,39,66.57606506,61.34931946,,,N,N,N,N,Y,Y
G12,,D,NTC,SYBR,None,Undetermined,,,,,,TRUE,0.390520622,TRUE,3,39,68.81610107,,,,N,N,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.390520622,TRUE,3,39,61.79199982,79.86436462,,,N,N,N,N,Y,Y
H2,Sample 2,D,UNKNOWN,SYBR,None,24.99103165,25.1469574,0.22051096,,,,TRUE,0.390520622,TRUE,3,20,80.16307831,,,,N,N,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,36.3379631,36.66608429,0.464036137,,,,TRUE,0.390520622,TRUE,3,31,80.16487885,,,,N,N,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,28.71248817,28.70069885,0.01667127,,,,TRUE,0.390520622,TRUE,3,23,80.16487885,,,,N,N,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,29.82667923,30.21619797,0.55086267,,,,TRUE,0.390520622,TRUE,3,23,80.1653595,,,,N,Y,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,26.68080711,26.73046112,0.070221372,,,,TRUE,0.390520622,TRUE,3,21,80.1653595,,,,N,N,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,33.34324646,33.60147095,0.365184575,,,,TRUE,0.390520622,TRUE,3,28,80.16343689,,,,N,N,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,29.91915321,29.94787216,0.040613379,,,,TRUE,0.390520622,TRUE,3,23,80.16343689,,,,N,N,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.390520622,TRUE,3,39,68.06551361,61.19488907,,,N,N,N,N,Y,Y
H10,Sample 10,D,UNKNOWN,SYBR,None,27.07119751,27.19463921,0.174572915,,,,TRUE,0.390520622,TRUE,3,21,80.16378784,,,,N,N,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,Undetermined,,,,,,TRUE,0.390520622,TRUE,3,39,61.1999855,,,,N,N,N,N,Y,N
H12,,D,NTC,SYBR,None,Undetermined,,,,,,TRUE,0.390520622,TRUE,3,39,61.34931946,,,,N,N,N,N,N,N
